Company Name,Year of experience,Job location,Skills required,Publised days ago
GLG,8 yrs,,"business requirements  ,  bi  ,  dashboards  ,  sql  ,  advanced analytics  ,  lead analyst  ,  tableau  ,  documentation skills",1.0
Ameriprise India Pvt Ltd,7 yrs,Gurgaon,"visualization  ,  use cases  ,  advanced analytics  ,  alteryx  ,  sql  ,  data science  ,  sas  ,  business analytics  ,  tableau  ,  analyst  ,  forms",30.0
AbsolutData Research & Analytics  ( P )  Ltd,10 yrs,,"advanced analytics  ,  sql programming  ,  database  ,  data science  ,  data visualization  ,  crm  ,  san  ,  customer analytics  ,  data analysis  ,  consulting  ,  tableau",0.0
"Kaushik Ghosh
     (More Jobs)",5 yrs,"Bengaluru / Bangalore,  Chennai,  Delhi,  null",PLSQL,30.0
"RECRUITMENT CANADA IMMIGRATION CANADA
     (More Jobs)",12 yrs,"Canada,  Other International Location(s)","""JAVA DEVELOPERS""  ,  ""JAVA ARCHITECTURE""  ,  ""LEAD ARCHITECT""  ,  "".net DEVELOPER""  ,  ""DATA ARCHITECT""  ,  ""DBA""  ,  ""SQL SERVER""  ,  ""ORACLE""  ,  ""ORACLE ADMINISTRATION""  ,  ""JAVASCRIPT""  ,  ""JAVA""",1.0
"AppSoft Solutions
     (More Jobs)",3 yrs,"Bengaluru / Bangalore,  Delhi,  Mumbai,  Noida/Greater Noida,  Pune","Java  ,  c ++  ,  c#  ,  python  ,  ruby  ,  php  ,  Data Structures SQL  ,  OOPS Data Structures  ,  Core Java  ,  algorithm  ,  AWS  ,  Azure  ,  Google Cloud",0.0
The Smart Cube India Pvt Ltd,7 yrs,,"time series analysis  ,  linear regression  ,  data visualization  ,  cpg  ,  advanced analytics  ,  oracle  ,  client server  ,  tableau  ,  consultant  ,  predictive modeling",1.0
XYLEM WATER SOLUTIONS INDIA PVT. LTD,3 yrs,Spain,"hmi  ,  water treatment  ,  safety  ,  warranty  ,  documentation  ,  ideas  ,  service technician  ,  supervisor  ,  repair  ,  scada  ,  field service  ,  plc  ,  technician  ,  environmental safety",0.0
tact4tech infosystems,5 yrs,Raipur,"css  ,  ajax  ,  javascript  ,  database  ,  xml  ,  php  ,  mysql  ,  web development  ,  html  ,  object oriented programming  ,  business applications",0.0
TandA HR Solutions,2 yrs,Ludhiana,"css  ,  html5  ,  wordpress  ,  php developer  ,  bootstrap  ,  ajax  ,  jquery  ,  oop  ,  git  ,  xml  ,  oops  ,  json  ,  mysql  ,  web development  ,  html  ,  wamp  ,  mvc  ,  technical skills  ,  mongodb  ,  laravel  ,  oracle  ,  mobile  ,  joomla  ,  javascript  ,  php  ,  angularjs  ,  content management system",1.0
Armaco Chemical Processes Systems Pvt Ltd,3 yrs,Jeddah,"production  ,  co2  ,  hydrogen  ,  instruments  ,  technology development  ,  chemical engineering  ,  natural gas  ,  planning",3.0
clinton health access initiative,3 yrs,"Delhi,  Delhi/NCR,  Bengaluru / Bangalore","communication  ,  policy design  ,  volunteer",6.0
evertz,3 yrs,Bengaluru / Bangalore,"hardware support  ,  computer electronics  ,  network  ,  system maintenance  ,  iptv  ,  dhcp  ,  hardware  ,  issue  ,  ip  ,  dns",1.0
APTIV,5 yrs,Morocco,"process innovation  ,  innovation  ,  manufacturing engineer  ,  msds  ,  implementation  ,  planning  ,  industrial engineering",1.0
APTIV,6 yrs,Mexico,"production  ,  safety  ,  safety systems  ,  product development  ,  manufacturing  ,  warranty  ,  innovation  ,  mechanical engineer  ,  apqp  ,  problem solving  ,  product design  ,  dfmea",1.0
BorgWarner Inc.,3 yrs,Chennai,"bom  ,  new development  ,  cost saving  ,  die casting  ,  screw  ,  apqp  ,  plastic injection molding  ,  metal  ,  ideas  ,  cft  ,  forging",1.0
Exxonmobil Company India Pvt Ltd,13 yrs,Bengaluru / Bangalore,"programming languages  ,  MATLAB  ,  Python",1.0
APTIV,5 yrs,,"suppliers  ,  pfmea  ,  fta  ,  fmea  ,  quality improvement  ,  ppap  ,  apqp  ,  spc  ,  automotive quality  ,  quality management  ,  msa  ,  quality tools",1.0
WALMART INDIA,7 yrs,,"information technology  ,  infrastructure engineering  ,  docker  ,  security  ,  iam  ,  devops  ,  github  ,  mobile  ,  splunk",1.0
WALMART INDIA,7 yrs,,"information technology  ,  infrastructure engineering  ,  docker  ,  security  ,  iam  ,  devops  ,  github  ,  mobile  ,  splunk",1.0
zones corporate solutions,10 yrs,,"sales team  ,  business development  ,  new business development  ,  sales  ,  sales account  ,  demand generation  ,  strategic sales  ,  strategic selling  ,  oem  ,  innovation  ,  technology solutions  ,  field sales  ,  market  ,  pipeline management  ,  selling",1.0
zones corporate solutions,10 yrs,,"sales team  ,  business development  ,  new business development  ,  sales  ,  sales account  ,  demand generation  ,  strategic sales  ,  strategic selling  ,  oem  ,  innovation  ,  technology solutions  ,  field sales  ,  market  ,  pipeline management  ,  selling",1.0
zones corporate solutions,10 yrs,,"sales team  ,  business development  ,  new business development  ,  sales  ,  sales account  ,  demand generation  ,  strategic sales  ,  strategic selling  ,  oem  ,  innovation  ,  technology solutions  ,  field sales  ,  market  ,  pipeline management  ,  selling",1.0
zones corporate solutions,10 yrs,,"sales team  ,  business development  ,  new business development  ,  sales  ,  sales account  ,  demand generation  ,  strategic sales  ,  strategic selling  ,  oem  ,  innovation  ,  technology solutions  ,  field sales  ,  market  ,  pipeline management  ,  selling",1.0
zones corporate solutions,10 yrs,New York City,"sales team  ,  business development  ,  new business development  ,  sales  ,  sales account  ,  demand generation  ,  strategic sales  ,  strategic selling  ,  oem  ,  innovation  ,  technology solutions  ,  field sales  ,  market  ,  pipeline management  ,  selling",1.0
zones corporate solutions,10 yrs,,"sales team  ,  business development  ,  new business development  ,  sales  ,  sales account  ,  demand generation  ,  strategic sales  ,  strategic selling  ,  oem  ,  innovation  ,  technology solutions  ,  field sales  ,  market  ,  pipeline management  ,  selling",1.0
zones corporate solutions,10 yrs,,"sales team  ,  business development  ,  new business development  ,  sales  ,  sales account  ,  demand generation  ,  strategic sales  ,  strategic selling  ,  oem  ,  innovation  ,  technology solutions  ,  field sales  ,  market  ,  pipeline management  ,  selling",1.0
CodeMaya,6 yrs,Lucknow,"css  ,  mobile  ,  ajax  ,  javascript  ,  jquery  ,  web development  ,  html  ,  api",1.0
Exxon Mobil Corporation,13 yrs,Bengaluru / Bangalore,"devops  ,  software engineering  ,  python  ,  ensemble  ,  security  ,  software engineer  ,  machine learning",1.0
zones corporate solutions,10 yrs,,"sales team  ,  business development  ,  new business development  ,  sales  ,  sales account  ,  demand generation  ,  strategic sales  ,  strategic selling  ,  oem  ,  innovation  ,  technology solutions  ,  field sales  ,  market  ,  pipeline management  ,  selling",1.0
"Right Choice
     (More Jobs)",5 yrs,"Kolkata,  Kharagpur",ADVANCE EXCEL,4.0
Morgan Stanley Pvt Ltd,10 yrs,Bengaluru / Bangalore,"macros  ,  gap analysis  ,  ms access  ,  vba  ,  bi  ,  process analysis  ,  sql  ,  advanced excel  ,  debugging  ,  process documentation  ,  business process management",30.0
Headhuntersinc consultancy Private Limited,8 yrs,Chennai,"sql development  ,  ssrs  ,  sql developer  ,  triggers  ,  sql",5.0
APPLYCUP HIRING SOLUTIONS LLP,7 yrs,"Gurgaon,  Delhi,  Delhi/NCR","sql  ,  plsql  ,  database  ,  security  ,  sql developer  ,  mysql",0.0
CONNECTING 2 WORK,9 yrs,Thiruvananthapuram,"triggers  ,  sql  ,  database",2.0
APPLYCUP HIRING SOLUTIONS LLP,6 yrs,"Gurgaon,  Delhi,  Delhi/NCR","dba  ,  performance tuning  ,  disaster recovery  ,  recovery  ,  sql  ,  sql dba",0.0
APPLYCUP HIRING SOLUTIONS LLP,5 yrs,Pune,"postgresql  ,  sql developer  ,  php  ,  team player  ,  jquery  ,  sql",0.0
glan management consultancy pvt. ltd.,5 yrs,,"fundamentals  ,  css  ,  information technology  ,  .net technologies  ,  sql  ,  database  ,  mvvm  ,  asp.net  ,  html  ,  mvc  ,  big data  ,  c#  ,  microsoft azure  ,  javascript  ,  c#.net  ,  software developer",0.0
ixia solutions llp,3 yrs,"Navi Mumbai,  Mumbai","dml  ,  data warehousing  ,  dbms  ,  sql  ,  database development  ,  database  ,  microsoft .net  ,  sql developer  ,  pl  /  sql  ,  technical skills  ,  ddl",0.0
TandA HR Solutions,5 yrs,Hyderabad/Secunderabad,"t-sql  ,  sql  ,  database  ,  sql developer  ,  telecom  ,  rdbms  ,  triggers  ,  product delivery  ,  .net  ,  sql server administration",6.0
TandA HR Solutions,4 yrs,Hyderabad/Secunderabad,"bi  ,  vb.net  ,  sql  ,  database development  ,  database management  ,  database  ,  xml  ,  ssrs  ,  sql developer  ,  t- sql  ,  big data  ,  problem solving  ,  triggers  ,  . net",1.0
Rapturous,5 yrs,Kolkata,"jquery  ,  sql  ,  database  ,  security  ,  xml  ,  sql developer  ,  debugging  ,  vb  ,  triggers  ,  javascript  ,  web technologies  ,  .net",0.0
TandA HR Solutions,6 yrs,Hyderabad/Secunderabad,"t-sql  ,  sql  ,  database  ,  sql developer  ,  telecom  ,  rdbms  ,  triggers  ,  product delivery  ,  database programming  ,  .net  ,  sql server administration",6.0
SAJIX SOFTWARE SOLUTIONS PVT LTD,7 yrs,,"information technology  ,  database  ,  sql developer  ,  develop database applications",0.0
APPLYCUP HIRING SOLUTIONS LLP,8 yrs,"Gurgaon,  Delhi,  Delhi/NCR","replication  ,  dba  ,  database mirroring  ,  index  ,  recovery  ,  storage  ,  sql  ,  database  ,  security  ,  sql dba  ,  database servers  ,  log shipping  ,  mirroring",0.0
Alpha e-barcode solution Pvt. Ltd,5 yrs,Ahmedabad,"security  ,  database servers  ,  sql server  ,  sql",1.0
Metaphor Consulting,2 yrs,Jamshedpur,"SQL Developer  ,  troubleshooting  ,  application maintenance",1.0
APPLYCUP HIRING SOLUTIONS LLP,8 yrs,"Delhi,  Delhi/NCR","microsoft technologies  ,  storage  ,  sql  ,  apache  ,  it projects  ,  data structures  ,  visual studio  ,  .net",0.0
CoreStack,6 yrs,Chennai,"sql development  ,  nist  ,  sql  ,  security  ,  ssrs  ,  sql developer  ,  debugging",1.0
1point1 pvt ltd solutions,6 yrs,Mumbai,"team player  ,  exceptions  ,  database  ,  mysql server  ,  sql developer  ,  mysql",1.0
One Point One Solutions,6 yrs,Mumbai,"team player  ,  exceptions  ,  database  ,  mysql server  ,  sql developer  ,  mysql",1.0
Gainwell Technologies,3 yrs,Chennai,"software packages  ,  sql developer  ,  sql development  ,  problem solving",1.0
TandA HR Solutions,6 yrs,Hyderabad/Secunderabad,"t-sql  ,  sql  ,  database  ,  sql developer  ,  rdbms  ,  triggers  ,  product delivery  ,  database programming  ,  .net  ,  sql server administration",1.0
Nineleaps,3 yrs,Bengaluru / Bangalore,"consulting  ,  bi  ,  dashboards  ,  sql  ,  tableau  ,  data visualization  ,  statistical analysis",1.0
TandA HR Solutions,8 yrs,Mohali,"t-sql  ,  sql  ,  database  ,  sql developer  ,  html  ,  team player  ,  exceptions  ,  javascript  ,  nosql  ,  forms",1.0
2SOFT SOLUTIONS PVT LTD,8 yrs,"Mumbai,  Bengaluru / Bangalore","database  ,  database programming  ,  sql developer",1.0
INTELLINET SYSTEMS PVT. LTD.,10 yrs,Gurgaon,"oracle  ,  microsoft azure  ,  triggers  ,  nosql  ,  sql  ,  security  ,  database  ,  ssrs  ,  sql developer  ,  mongodb  ,  couchdb",1.0
AxionConnect Infosolutions Pvt. Ltd.,5 yrs,"Navi Mumbai,  Mumbai","data warehousing  ,  sql  ,  database  ,  xml  ,  data transformation  ,  etl  ,  dts  ,  integration services  ,  ssis",1.0
E Hook Systems,8 yrs,Delhi,"replication  ,  performance tuning  ,  sql  ,  database  ,  sql dba  ,  oracle database  ,  log shipping  ,  mirroring",1.0
TandA HR Solutions,7 yrs,Mohali,"replication  ,  performance tuning  ,  index  ,  sql  ,  backup  &  recovery  ,  database  ,  security  ,  query optimization  ,  sql profiler  ,  log shipping",1.0
TandA HR Solutions,7 yrs,Mohali,"replication  ,  performance tuning  ,  index  ,  sql  ,  backup  &  recovery  ,  database  ,  security  ,  query optimization  ,  sql profiler  ,  log shipping",1.0
amiable services,3 yrs,Pune,"replication  ,  recovery  ,  patching  ,  database administration  ,  sql dba  ,  log shipping  ,  mirroring",1.0
Techminds Group Pvt Ltd,3 yrs,,"information technology  ,  sql  ,  database  ,  security  ,  project life cycle  ,  operating system  ,  team player  ,  infrastructure",1.0
Infosys Technologies Ltd,3 yrs,Australia,"disaster recovery  ,  sql dba  ,  mirroring  ,  query optimization  ,  database maintenance  ,  recovery  ,  sql  ,  database  ,  replication  ,  rdbms  ,  restore  ,  performance tuning  ,  consultant  ,  sql profiler  ,  log shipping",1.0
InteleANTS Virtual Workforce Private Limited,8 yrs,Chennai,"security  ,  database  ,  written communication  ,  ssrs",1.0
Baxture,7 yrs,Pune,"ssas  ,  database  ,  ssis  ,  etl",1.0
"SAMPOORNA CONSULTANTS PVT LTD
     (More Jobs)",7 yrs,Bengaluru / Bangalore,"Azure  ,  C sharp  ,  Microservices",30.0
"Laxmi Infotech
     (More Jobs)",3 yrs,"Ahmedabad,  Delhi,  Gurgaon,  Kolkata,  Noida/Greater Noida","fresher  ,  trainee  ,  c   ,  c ++  ,  Java  ,  Html  ,  Sql  ,  ASP .net c# Vb.net  ,  Vb  ,  Oracle",2.0
Angel and Genie,2 yrs,Mumbai,"sql  ,  vba  ,  advanced excel  ,  analyst",1.0
"Employment clarity
     (More Jobs)",5 yrs,"Delhi,  Noida/Greater Noida","MIS Report  ,  ADVANCE EXCEL",1.0
"HAPPY SQUARE OUTSOURCING SERVICES PVT.LTD.
     (More Jobs)",2 yrs,Mumbai,"onboarding  ,  advanced excel",30.0
"HAPPY SQUARE OUTSOURCING SERVICES PVT.LTD.
     (More Jobs)",9 yrs,Jabalpur,"tally  ,  advance Excel",30.0
WALMART INDIA,8 yrs,,"Data Analytics   ,  Business Intelligence  ,  Advanced Analytics",2.0
GLG,10 yrs,,"anova  ,  spss  ,  advanced analytics  ,  director  ,  consulting  ,  factor analysis",1.0
WALMART INDIA,9 yrs,,"software engineering  ,  advanced analytics  ,  data analytics  ,  data mining  ,  data analysis  ,  sas  ,  consulting  ,  business analytics  ,  statistical analysis  ,  forms",1.0
WALMART INDIA,9 yrs,,"program management  ,  use cases  ,  advanced analytics  ,  data analytics  ,  data mining  ,  bi  ,  business solutions  ,  data science  ,  data visualization  ,  data analysis  ,  sas  ,  business analytics  ,  tableau  ,  statistical analysis",1.0
"Maxgen Technologies
     (More Jobs)",1 yrs,"Pune,  Amravati,  Aurangabad,  Sangli,  Satara","internship  ,  spring  ,  Advanced Java",1.0
"New Global Technologies
     (More Jobs)",3 yrs,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune","ASP .net c# SQL  ,  Ms Sql Server  ,  Visual Basic  ,  vb  ,  c ++  ,  ASP .net Web Development  ,  Html  ,  .net  ,  dot net developer  ,  application developer  ,  fresher  ,  software engineer  ,  mocrosoft",30.0
Sumo Digital Ltd,6 yrs,Canada,"c    ,  simulator  ,  team player  ,  database  ,  games  ,  debugging",3.0
select source international private limited,10 yrs,Gurgaon,"manufacturing engineer  ,  production  ,  new product development  ,  corrective action  ,  manufacturing  ,  welding  ,  process development  ,  npi  ,  documentation  ,  manufacturing engineering  ,  planning  ,  industrial engineering",3.0
vConstruct Pvt Ltd,5 yrs,Pune,"bim  ,  construction management  ,  project manager  ,  design  ,  construction  ,  navisworks  ,  commercial construction  ,  project implementation  ,  construction projects  ,  construction planning  ,  civil engineering  ,  revit  ,  project planning",6.0
WALMART INDIA,9 yrs,,"accounting  ,  commerce  ,  information systems  ,  stock  ,  ca  ,  ar  ,  finance",6.0
zones corporate solutions,10 yrs,,"sales team  ,  business development  ,  new business development  ,  sales  ,  sales account  ,  demand generation  ,  strategic sales  ,  strategic selling  ,  oem  ,  innovation  ,  technology solutions  ,  field sales  ,  market  ,  pipeline management  ,  selling",1.0
APTIV,5 yrs,New York City,"project quality  ,  pfmea  ,  product quality  ,  ppap  ,  apqp  ,  spc  ,  ppap documentation  ,  msa  ,  quality tools",1.0
Agnity India Pvt Ltd,5 yrs,Noida/Greater Noida,"fundamentals  ,  jprobe  ,  sql  ,  advanced java  ,  java  ,  unix shell scripting  ,  oops  ,  j2ee  ,  multithreading  ,  telecom  ,  eclipse ide  ,  spring framework  ,  unix  ,  java programming",0.0
"Jobuss resources pvt ltd
     (More Jobs)",6 yrs,"Mumbai,  Navi Mumbai,  Thane","mis  ,  advance excel  ,  Ms access",30.0
Visa Inc.,13 yrs,Bengaluru / Bangalore,"t-sql  ,  pl  /  sql  ,  oracle  ,  storage  ,  sql  ,  database  ,  security  ,  sql developer  ,  infrastructure  ,  leadership skills  ,  sql database",30.0
APPLYCUP HIRING SOLUTIONS LLP,4 yrs,Ahmedabad,"SQL   ,  gathering information  ,  Advanced technical skills",0.0
covalense global,9 yrs,Hyderabad/Secunderabad,"adf  ,  adb  ,  sql",0.0
Clinevo Technologies,15 yrs,Bengaluru / Bangalore,"database  ,  oracle sql  ,  plsql",0.0
APPLYCUP HIRING SOLUTIONS LLP,8 yrs,Pune,"postgresql  ,  sql developer  ,  php  ,  team player  ,  jquery  ,  sql",0.0
alliance recruitment agency,8 yrs,Canada,"performance tuning  ,  disaster recovery  ,  recovery  ,  sql  ,  sql database administrator  ,  database",0.0
Stemmons Business Services Pvt. Ltd.,4 yrs,Vadodara,"r2  ,  sql server development  ,  bi  ,  sql  ,  ssrs  ,  sql developer",5.0
CANDOUR TECHNOLOGIES,3 yrs,Vijayawada,"oracle pl  ,  oracle pl  /  sql  ,  shell scripting  ,  pl  /  sql  ,  unix  ,  sql  ,  database development",0.0
destiny hr group services,8 yrs,Noida/Greater Noida,"sql server development  ,  bi  ,  t-sql  ,  database  ,  ssrs  ,  sql developer  ,  it project management  ,  mysql  ,  sql development  ,  rdbms  ,  problem solving  ,  nosql  ,  written communication  ,  project delivery  ,  .net  ,  sql database",0.0
APPLYCUP HIRING SOLUTIONS LLP,7 yrs,Ahmedabad,"bi  ,  t-sql  ,  sql  ,  database  ,  ssrs  ,  sql developer  ,  technical skills  ,  oracle  ,  rdbms  ,  team player  ,  triggers  ,  written communication",0.0
APPLYCUP HIRING SOLUTIONS LLP,7 yrs,Ahmedabad,"bi  ,  t-sql  ,  sql  ,  database  ,  ssrs  ,  sql developer  ,  technical skills  ,  oracle  ,  rdbms  ,  team player  ,  triggers  ,  written communication",0.0
APPLYCUP HIRING SOLUTIONS LLP,7 yrs,Ahmedabad,"bi  ,  t-sql  ,  sql  ,  database  ,  ssrs  ,  sql developer  ,  technical skills  ,  oracle  ,  rdbms  ,  team player  ,  triggers  ,  written communication",0.0
Infinizi Consulting Pvt. Ltd.,7 yrs,Noida/Greater Noida,"recovery  ,  storage  ,  sql  ,  database  ,  security  ,  dba  ,  operating system  ,  database security  ,  windows  ,  database administration  ,  sql profiler  ,  sql server administration  ,  database tuning",0.0
RANGAM INFOTECH PVT. LTD.,18 yrs,Bengaluru / Bangalore,"oracle  ,  sql  ,  Application Developer",6.0
CANDOUR TECHNOLOGIES,3 yrs,Vijayawada,"oracle pl  /  sql  ,  oracle  ,  written communication",0.0
SRINSOFT TECHNOLOGIES,10 yrs,Chennai,"sql  ,  wmi  ,  security  ,  database  ,  ssrs  ,  cloud computing",0.0
glan management consultancy pvt. ltd.,6 yrs,Gurgaon,"sql server developer  ,  data warehousing  ,  triggers  ,  sql  ,  database application  ,  database",4.0
SUPRO INFO SOLUTIONS PRIVATE LIMITED,3 yrs,Surat,"sql development  ,  triggers  ,  plsql  ,  sql  ,  linux  ,  oracle sql  ,  pl  /  sql  ,  unix",1.0
Cybage Software Pvt Ltd,5 yrs,Pune,"oracle  ,  linux  ,  debugging  ,  mysql  ,  unix  /  linux  ,  sql",1.0
NUWARE SYSTEMS PVT LTD,5 yrs,Bengaluru / Bangalore,"T-SQL  ,   Investment Banking Domain   ,   financial domain  ,  Basic SQL  ,   communication  ,   analytical   ,  Performance tuning  ,  SSIS  ,",0.0
PAGO Analytics,8 yrs,Bengaluru / Bangalore,"css  ,  html5  ,  sql server development  ,  vb.net  ,  jquery  ,  sql  ,  database  ,  asp.net  ,  sql developer  ,  html  ,  visual basic  ,  c#  ,  .net developer  ,  visual source safe  ,  vb  ,  javascript  ,  production support  ,  .net  ,  forms",0.0
